
     Value            PMF            CDF
         2     2.777778 %     2.777778 %
         3     5.555556 %     8.333333 %
         4     8.333333 %    16.666667 %
         5    11.111111 %    27.777778 %
         6    13.888889 %    41.666667 %
         7    16.666667 %    58.333333 %
         8    13.888889 %    72.222222 %
         9    11.111111 %    83.333333 %
        10     8.333333 %    91.666667 %
        11     5.555556 %    97.222222 %
        12     2.777778 %   100.000000 %
